"공공체육시설별","자치구별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"야구장","마포구","면적","㎡","73570","73570","73570","73570","73570","73570","73570","73570","73570","73570","73570","21565","21565","21565",
"야구장","양천구","개소","개소","3","3","3","3","3","3","3","3","3","3","3","3","3","3",
"야구장","양천구","면적","㎡","70696","70343","70343","65180","65180","65180","48947","48947","48947","48947","48947","65180","65180","65180",
"야구장","강서구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","강서구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","구로구","개소","개소","","","","","1","1","1","1","1","1","1","2","2","2",
"야구장","구로구","면적","㎡","","","","","58992","58992","58992","58992","58992","58992","58992","63117","63117","63117",
"야구장","금천구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","금천구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","영등포구","개소","개소","","","","","","","","","2","2","2","2","2","2",
"야구장","영등포구","면적","㎡","","","","","","","","","13799","13799","13799","13799","13799","13799",
"야구장","동작구","개소","개소","","","","","","","","","","","1","1","1","1",
"야구장","동작구","면적","㎡","","","","","","","","","","","9300","9300","9300","9300",
"야구장","관악구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","관악구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","서초구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","서초구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","강남구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","강남구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","송파구","개소","개소","2","2","2","2","2","2","2","2","2","2","2","2","2","3",
"야구장","송파구","면적","㎡","30737","30737","30737","30781","30781","30781","4450","4450","4450","4450","4450","4450","4450","55822",
"야구장","강동구","개소","개소","2","2","2","2","2","2","2","3","3","3","3","3","3","3",
"야구장","강동구","면적","㎡","11100","11100","11100","11100","11100","11100","11100","37800","37800","37800","37800","35490","35490","35490",
"야구장","기타(서울외)","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","기타(서울외)","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","합계","개소","개소","","","","","","","","","","","1","1","1","1",
"싸이클 경기장","합계","면적","㎡","","","","","","","","","","","10672","10672","10672","10672",
"싸이클 경기장","종로구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","종로구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","중구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","중구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","용산구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","용산구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","성동구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","성동구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","광진구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","광진구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","동대문구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","동대문구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","중랑구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","중랑구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","성북구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","성북구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","강북구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","강북구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","도봉구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","도봉구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","노원구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","노원구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","은평구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","은평구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","서대문구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","서대문구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","마포구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","마포구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","양천구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","양천구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","강서구","개소","개소","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","강서구","면적","㎡","","","","","","","","","","","0","-","-","-",
"싸이클 경기장","구로구","개소","개소","","","","","","","","","","","0","-","-","-",
